mode,threads,preset,cpu1_us,io_us,cpu2_us,connections,duration,wrk_threads,reps,successful_runs,best_runtime_s,avg_runtime_s,best_requests_sec,avg_requests_sec,best_latency_avg,avg_latency_avg,run_logs_dir
classic,16,p3_cpu_heavy,1200,200,1200,32,10s,4,3,3,10.000000,10.000000,5937.740000,5936.836667,5.260000,5.263333,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/classic_t16_p3_cpu_heavy
classic,16,p4_io_heavy_high_conc,100,10000,100,64,12s,4,3,3,12.020000,12.023333,1546.130000,1545.573333,41.110000,41.120000,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/classic_t16_p4_io_heavy_high_conc
classic,16,p5_stress_mix,600,3000,600,96,12s,4,3,3,12.020000,12.020000,3699.260000,3693.466667,25.760000,25.780000,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/classic_t16_p5_stress_mix
classic,16,p6_ultra_io_bound,50,20000,50,64,12s,4,3,3,12.020000,12.026667,789.340000,788.590000,80.460000,80.473333,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/classic_t16_p6_ultra_io_bound
coro,16,p1_light_cpu_heavy_io,100,8000,100,16,8s,4,3,3,8.000000,8.006667,1845.330000,1844.566667,8.520000,8.523333,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/coro_t16_p1_light_cpu_heavy_io
coro,16,p2_balanced,200,5000,200,32,10s,4,3,3,10.000000,10.003333,5476.190000,5464.293333,5.710000,5.720000,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/coro_t16_p2_balanced
coro,16,p3_cpu_heavy,1200,200,1200,32,10s,4,3,3,10.000000,10.036667,6411.090000,6394.206667,4.880000,4.883333,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/coro_t16_p3_cpu_heavy
coro,16,p4_io_heavy_high_conc,100,10000,100,64,12s,4,3,3,12.010000,12.013333,5981.430000,5979.430000,10.540000,10.540000,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/coro_t16_p4_io_heavy_high_conc
coro,16,p5_stress_mix,600,3000,600,96,12s,4,3,3,12.010000,12.016667,11942.240000,11934.703333,7.870000,7.876667,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/coro_t16_p5_stress_mix
coro,16,p6_ultra_io_bound,50,20000,50,64,12s,4,3,3,12.020000,12.026667,3101.650000,3099.946667,20.430000,20.433333,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/coro_t16_p6_ultra_io_bound
ws,16,p1_light_cpu_heavy_io,100,8000,100,16,8s,4,3,3,8.000000,8.003333,1861.000000,1854.726667,8.400000,8.416667,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/ws_t16_p1_light_cpu_heavy_io
ws,16,p2_balanced,200,5000,200,32,10s,4,3,3,10.010000,10.040000,2892.320000,2886.413333,10.960000,11.033333,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/ws_t16_p2_balanced
ws,16,p3_cpu_heavy,1200,200,1200,32,10s,4,3,3,10.000000,10.033333,5938.150000,5925.446667,5.310000,5.390000,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/ws_t16_p3_cpu_heavy
ws,16,p4_io_heavy_high_conc,100,10000,100,64,12s,4,3,3,12.020000,12.030000,1546.110000,1545.293333,41.020000,41.090000,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/ws_t16_p4_io_heavy_high_conc
