mode,threads,preset,cpu1_mm,io_us,cpu2_mm,mm_n,mm_bs,connections,duration,wrk_threads,reps,successful_runs,best_runtime_s,avg_runtime_s,best_requests_sec,avg_requests_sec,best_latency_avg,avg_latency_avg,run_logs_dir
elastic,2,p1_light_cpu_heavy_io,1,8000,1,256,32,16,8s,4,3,3,8.010000,8.010000,124.540000,124.026667,127.190000,127.790000,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/elastic_t2_p1_light_cpu_heavy_io
elastic,2,p2_balanced,2,5000,2,256,32,32,10s,4,3,3,10.010000,10.010000,76.700000,76.113333,408.300000,411.493333,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/elastic_t2_p2_balanced
elastic,2,p3_cpu_heavy,3,200,3,256,32,32,10s,4,3,3,10.010000,10.013333,56.650000,56.333333,549.050000,551.913333,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/elastic_t2_p3_cpu_heavy
elastic,2,p4_io_heavy_high_conc,1,10000,1,256,32,64,12s,4,3,3,12.030000,12.030000,118.490000,117.650000,527.300000,530.630000,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/elastic_t2_p4_io_heavy_high_conc
elastic,2,p5_stress_mix,2,3000,2,256,32,96,12s,4,3,3,12.030000,12.033333,79.740000,78.886667,1.140000,1.153333,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/elastic_t2_p5_stress_mix
elastic,2,p6_ultra_io_bound,1,20000,1,256,32,64,12s,4,3,3,12.030000,12.033333,91.170000,91.036667,680.640000,681.326667,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/elastic_t2_p6_ultra_io_bound
advws,2,p1_light_cpu_heavy_io,1,8000,1,256,32,16,8s,4,3,3,8.000000,8.006667,126.050000,125.430000,125.790000,126.370000,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/advws_t2_p1_light_cpu_heavy_io
advws,2,p2_balanced,2,5000,2,256,32,32,10s,4,3,3,10.010000,10.013333,76.670000,75.730000,408.210000,413.100000,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/advws_t2_p2_balanced
advws,2,p3_cpu_heavy,3,200,3,256,32,32,10s,4,3,3,10.010000,10.010000,56.440000,55.673333,550.640000,557.510000,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/advws_t2_p3_cpu_heavy
advws,2,p4_io_heavy_high_conc,1,10000,1,256,32,64,12s,4,3,3,12.020000,12.030000,118.350000,117.353333,527.510000,531.713333,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/advws_t2_p4_io_heavy_high_conc
