"bench","preset","mode","fib_n","threads","warmup","reps","tasks","split_threshold","exit_code","bench_best_s","bench_avg_s","time_elapsed_s","time_elapsed_raw","time_user_s","time_sys_s","time_cpu_pct","time_max_rss_kb","time_voluntary_cs","time_involuntary_cs","time_minor_pf","time_major_pf","perf_available","perf_task_clock","perf_context_switches","perf_cpu_migrations","perf_page_faults","perf_cycles","perf_instructions","perf_branches","perf_branch_misses","perf_cache_references","perf_cache_misses","bench_log","time_log","perf_log"
"fib_fast_bench","ff_light","classic","90","4","1","3","4","0","0","5.463e-05","7.2536e-05","0.020000","0:00.02","0.01","0.01","100%","12416","30","0","1535","0","1","3.79","19","0","148","6269197","6205768","831714","35350","95026","14157","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/bench_fib_fast_bench_classic_ff_light.log","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/time_fib_fast_bench_classic_ff_light.log","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/perf_fib_fast_bench_classic_ff_light.log"
"fib_fast_bench","ff_mid","classic","93","4","1","3","4","0","0","5.0467e-05","9.9312e-05","0.020000","0:00.02","0.00","0.01","100%","12544","30","1","1530","0","1","3.96","19","0","147","5485541","4864675","941299","35902","103486","14531","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/bench_fib_fast_bench_classic_ff_mid.log","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/time_fib_fast_bench_classic_ff_mid.log","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/perf_fib_fast_bench_classic_ff_mid.log"
"fib_fast_bench","ff_heavy","classic","93","4","1","3","16","0","0","3.9255e-05","5.44217e-05","0.020000","0:00.02","0.01","0.01","100%","12416","33","2","1535","0","1","3.90","22","0","146","6527042","6167824","846516","35290","98971","14077","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/bench_fib_fast_bench_classic_ff_heavy.log","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/time_fib_fast_bench_classic_ff_heavy.log","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/perf_fib_fast_bench_classic_ff_heavy.log"
"fib_bench","fb_light","coro","52","4","1","3","4","46","0","3.7751e-05","4.738e-05","0.030000","0:00.03","0.01","0.01","75%","12288","32","2","1535","0","1","3.77","20","1","148","5338577","4966278","838227","34989","98479","14943","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/bench_fib_bench_coro_fb_light.log","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/time_fib_bench_coro_fb_light.log","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/perf_fib_bench_coro_fb_light.log"
"fib_bench","fb_mid","coro","60","4","1","3","4","54","0","3.1064e-05","6.45003e-05","0.020000","0:00.02","0.00","0.01","100%","12544","28","1","1541","0","1","3.71","17","1","148","6255625","6200415","871899","35683","101641","14536","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/bench_fib_bench_coro_fb_mid.log","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/time_fib_bench_coro_fb_mid.log","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/perf_fib_bench_coro_fb_mid.log"
"fib_bench","fb_heavy","coro","65","4","1","3","8","60","0","3.6612e-05","4.33173e-05","0.020000","0:00.02","0.00","0.01","105%","12416","39","1","1536","0","1","2.82","28","0","150","6292505","6647968","840676","34828","105494","14625","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/bench_fib_bench_coro_fb_heavy.log","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/time_fib_bench_coro_fb_heavy.log","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/perf_fib_bench_coro_fb_heavy.log"
"fib_single_bench","fs_light","coro","54","4","1","3","0","48","0","8.2113e-05","0.000101254","0.020000","0:00.02","0.00","0.01","104%","12544","59","0","1540","0","1","4.38","48","0","151","6571938","6091095","916258","37396","119540","13896","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/bench_fib_single_bench_coro_fs_light.log","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/time_fib_single_bench_coro_fs_light.log","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/perf_fib_single_bench_coro_fs_light.log"
"fib_single_bench","fs_mid","coro","60","4","1","3","0","54","0","0.000165036","0.000183087","0.010000","0:00.01","0.01","0.01","105%","12416","48","1","1537","0","1","4.17","38","0","150","6223661","5675988","836620","36258","122329","14791","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/bench_fib_single_bench_coro_fs_mid.log","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/time_fib_single_bench_coro_fs_mid.log","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/perf_fib_single_bench_coro_fs_mid.log"
"fib_single_bench","fs_heavy","coro","65","4","1","3","0","60","0","7.7542e-05","9.24277e-05","0.020000","0:00.02","0.00","0.01","100%","12544","41","0","1536","0","1","3.38","30","0","150","5980069","6136144","802406","35786","108829","14457","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/bench_fib_single_bench_coro_fs_heavy.log","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/time_fib_single_bench_coro_fs_heavy.log","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/perf_fib_single_bench_coro_fs_heavy.log"
"fib_fast_bench","ff_light","coro","90","4","1","3","4","0","0","4.8097e-05","6.08857e-05","0.020000","0:00.02","0.00","0.01","104%","12544","36","1","1539","0","1","3.85","25","1","147","6038246","5784857","830605","34809","96592","14137","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/bench_fib_fast_bench_coro_ff_light.log","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/time_fib_fast_bench_coro_ff_light.log","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/perf_fib_fast_bench_coro_ff_light.log"
"fib_fast_bench","ff_mid","coro","93","4","1","3","4","0","0","3.8755e-05","4.71843e-05","0.020000","0:00.02","0.00","0.01","100%","12416","29","0","1540","0","1","3.65","18","3","147","4701699","4396158","782895","35016","102496","14535","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/bench_fib_fast_bench_coro_ff_mid.log","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/time_fib_fast_bench_coro_ff_mid.log","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/perf_fib_fast_bench_coro_ff_mid.log"
"fib_fast_bench","ff_heavy","coro","93","4","1","3","16","0","0","5.0267e-05","5.55143e-05","0.020000","0:00.02","0.00","0.01","100%","12416","42","1","1543","0","1","4.14","31","1","151","7020935","6750465","902494","35920","100244","13871","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/bench_fib_fast_bench_coro_ff_heavy.log","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/time_fib_fast_bench_coro_ff_heavy.log","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/perf_fib_fast_bench_coro_ff_heavy.log"
"fib_bench","fb_light","ws","52","4","1","3","4","46","0","5.2565e-05","5.98527e-05","0.020000","0:00.02","0.00","0.01","100%","12544","34","0","1533","0","1","3.78","23","0","147","6403936","4526374","812091","34303","91468","12908","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/bench_fib_bench_ws_fb_light.log","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/time_fib_bench_ws_fb_light.log","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/perf_fib_bench_ws_fb_light.log"
